specification,system,sample,role,window_months,n_windows,first_window_end,last_window_end,beta_cost_median,beta_cost_min,beta_cost_max,alpha_price_median,alpha_cost_median,share_price_sig_5pct,share_price_sig_10pct,share_cost_sig_5pct,share_cost_sig_10pct,share_opposite_sign_alphas,share_same_sign_alphas,share_cost_side_dominant_5pct,share_price_side_dominant_5pct,share_both_adjust_5pct,share_neither_adjust_5pct
frontier_asic_constant_main,frontier,asic_robustness_2014_01,main rolling specification,48,97,2017-12-01,2025-12-01,-0.9970992765833815,-2.085127132106359,3.793634643517671,-0.05147577415830874,0.07786735692058742,0.3711340206185567,0.4742268041237113,0.6804123711340206,0.7319587628865979,0.6494845360824743,0.35051546391752575,0.5670103092783505,0.25773195876288657,0.1134020618556701,0.061855670103092786
frontier_asic_constant_main,frontier,asic_robustness_2014_01,main rolling specification,36,109,2016-12-01,2025-12-01,-1.0515649391745328,-46.592286512265765,174.6048335059907,-0.06625271057113971,0.176936699018214,0.41284403669724773,0.48623853211009177,0.6880733944954128,0.7522935779816514,0.5871559633027523,0.41284403669724773,0.5229357798165137,0.24770642201834864,0.1651376146788991,0.06422018348623854
weighted_baseline_parsimonious_constant,weighted,baseline_2010_08,weighted robustness; interpret cautiously because static VECM has same-sign alphas and residual autocorrelation,48,138,2014-07-01,2025-12-01,-0.27219760649415325,-4.962925333039993,4.651023250678521,-0.10279952942933449,0.011766044800095108,0.717391304347826,0.8405797101449275,0.4492753623188406,0.5652173913043478,0.5507246376811594,0.4492753623188406,0.21014492753623187,0.4782608695652174,0.2391304347826087,0.07246376811594203
weighted_baseline_parsimonious_constant,weighted,baseline_2010_08,weighted robustness; interpret cautiously because static VECM has same-sign alphas and residual autocorrelation,36,150,2013-07-01,2025-12-01,-0.2874541083812401,-3.6349307157794857,51.90024091639817,-0.11910625632993585,0.013446887685025898,0.62,0.7333333333333333,0.5133333333333333,0.5866666666666667,0.5066666666666667,0.49333333333333335,0.32666666666666666,0.43333333333333335,0.18666666666666668,0.05333333333333334
frontier_baseline_none_sensitivity,frontier,baseline_2010_08,frontier full-sample instability sensitivity,48,138,2014-07-01,2025-12-01,-0.368697089181122,-0.5073694775794503,0.7659533284184188,-0.0573247053867432,0.019797902668942855,0.5144927536231884,0.5869565217391305,0.3188405797101449,0.41304347826086957,0.427536231884058,0.572463768115942,0.21014492753623187,0.4057971014492754,0.10869565217391304,0.2753623188405797
frontier_baseline_none_sensitivity,frontier,baseline_2010_08,frontier full-sample instability sensitivity,36,150,2013-07-01,2025-12-01,-0.3431209706253027,-1.2009778578503822,1.2411916518214814,-0.06912987747096505,0.03914137365717797,0.5066666666666667,0.68,0.35333333333333333,0.4666666666666667,0.4866666666666667,0.5133333333333333,0.18,0.3333333333333333,0.17333333333333334,0.31333333333333335
weighted_asic_linear_trend_sensitivity,weighted,asic_robustness_2014_01,weighted ASIC-era trend sensitivity,48,97,2017-12-01,2025-12-01,-0.33223194680548734,-0.8913130106158091,0.052978003208923256,-0.07730755069427103,0.06186615059638523,0.7319587628865979,0.8762886597938144,0.41237113402061853,0.6082474226804123,0.5876288659793815,0.41237113402061853,0.17525773195876287,0.4948453608247423,0.23711340206185566,0.09278350515463918
weighted_asic_linear_trend_sensitivity,weighted,asic_robustness_2014_01,weighted ASIC-era trend sensitivity,36,109,2016-12-01,2025-12-01,-0.3382380304772533,-0.5877977231389627,-0.010909804078321256,-0.10875337942298434,0.10027204461159361,0.7522935779816514,0.8623853211009175,0.44954128440366975,0.4954128440366973,0.7064220183486238,0.29357798165137616,0.1651376146788991,0.46788990825688076,0.28440366972477066,0.08256880733944955
