specification,window_months,window_end_regime,n_windows,alpha_price_median,alpha_cost_median,beta_cost_median,share_price_sig_10pct,share_cost_sig_5pct,share_opposite_sign_alphas,share_cost_side_dominant_5pct
frontier_asic_constant_main,48,through_2020,37,-0.03737132680464288,0.2759736661211143,-1.0530497018566596,0.05405405405405406,1.0,0.6486486486486487,0.972972972972973
frontier_asic_constant_main,48,2021_2023,36,-0.04657130816948057,0.006032790364473737,-0.832762784787394,0.6666666666666666,0.5555555555555556,0.5277777777777778,0.3888888888888889
frontier_asic_constant_main,48,2024_2025,24,-0.09229625494245212,0.06628454697269379,-0.7811788913167086,0.8333333333333334,0.375,0.8333333333333334,0.20833333333333334
frontier_asic_constant_main,36,through_2020,49,-0.07381190938700288,0.2243321104931838,-1.131863796940257,0.3877551020408163,0.9387755102040817,0.8979591836734694,0.673469387755102
frontier_asic_constant_main,36,2021_2023,36,-0.07083081868754737,-0.009136934197865352,0.16940086992232214,0.7777777777777778,0.2222222222222222,0.1388888888888889,0.19444444444444445
frontier_asic_constant_main,36,2024_2025,24,-0.04260551211026206,0.18602842181441984,-0.9943138116343159,0.25,0.875,0.625,0.7083333333333334
weighted_baseline_parsimonious_constant,48,through_2020,78,-0.11183294236979645,-0.013996705382931462,0.42179860676992176,0.8717948717948718,0.46153846153846156,0.44871794871794873,0.24358974358974358
weighted_baseline_parsimonious_constant,48,2021_2023,36,-0.07882772805066435,0.00721558960959141,-0.8232720457562827,0.9444444444444444,0.3888888888888889,0.5555555555555556,0.08333333333333333
weighted_baseline_parsimonious_constant,48,2024_2025,24,-0.07358743377267313,0.07203516898402114,-0.7184436582657348,0.5833333333333334,0.5,0.875,0.2916666666666667
weighted_baseline_parsimonious_constant,36,through_2020,90,-0.12837839513362592,0.0462898159098595,-0.258514145026594,0.8222222222222222,0.5222222222222223,0.5333333333333333,0.26666666666666666
weighted_baseline_parsimonious_constant,36,2021_2023,36,-0.0898024799531719,-0.010316080351895938,1.2676800775123684,0.8333333333333334,0.2777777777777778,0.3055555555555556,0.19444444444444445
weighted_baseline_parsimonious_constant,36,2024_2025,24,-0.03276654441637793,0.19201056364333857,-0.9877031571221951,0.25,0.8333333333333334,0.7083333333333334,0.75
frontier_baseline_none_sensitivity,48,through_2020,78,-0.03502795889806267,0.039755732434611626,-0.2665799207007419,0.5769230769230769,0.46153846153846156,0.5,0.2948717948717949
frontier_baseline_none_sensitivity,48,2021_2023,36,-0.060309608308077745,-0.016408784384471676,-0.3950689140893901,0.7222222222222222,0.08333333333333333,0.027777777777777776,0.027777777777777776
frontier_baseline_none_sensitivity,48,2024_2025,24,-0.06821189248689469,0.05722080299332314,-0.38392320709872013,0.4166666666666667,0.20833333333333334,0.7916666666666666,0.20833333333333334
frontier_baseline_none_sensitivity,36,through_2020,90,-0.07640303140503354,0.09531632919683478,-0.262733357262528,0.6777777777777778,0.4777777777777778,0.5888888888888889,0.2111111111111111
frontier_baseline_none_sensitivity,36,2021_2023,36,-0.07193071183112679,-0.018298847408255395,-0.39413983060113833,0.8611111111111112,0.027777777777777776,0.19444444444444445,0.027777777777777776
frontier_baseline_none_sensitivity,36,2024_2025,24,-0.03730999235216667,0.036555190725331546,-0.37581820172314706,0.4166666666666667,0.375,0.5416666666666666,0.2916666666666667
weighted_asic_linear_trend_sensitivity,48,through_2020,37,-0.05369343392478573,0.15566614216770402,-0.2445222717544041,0.8108108108108109,0.6756756756756757,1.0,0.24324324324324326
weighted_asic_linear_trend_sensitivity,48,2021_2023,36,-0.11590790902954015,-0.026973853953219374,-0.3332052191437903,1.0,0.08333333333333333,0.1111111111111111,0.0
weighted_asic_linear_trend_sensitivity,48,2024_2025,24,-0.079853425727357,0.06249998283075255,-0.37139777218160935,0.7916666666666666,0.5,0.6666666666666666,0.3333333333333333
weighted_asic_linear_trend_sensitivity,36,through_2020,49,-0.0824238379846937,0.1706175478015406,-0.2819370915909321,0.8367346938775511,0.6530612244897959,0.9795918367346939,0.20408163265306123
weighted_asic_linear_trend_sensitivity,36,2021_2023,36,-0.11306523693407508,-0.02662505831444126,-0.362190115461164,1.0,0.027777777777777776,0.2777777777777778,0.0
weighted_asic_linear_trend_sensitivity,36,2024_2025,24,-0.1619053609244603,0.14922771334216886,-0.3541384131853288,0.7083333333333334,0.6666666666666666,0.7916666666666666,0.3333333333333333
