specification,system,sample,equation,variable,label,alpha,std_err,z_stat,p_value,significant_5pct,significant_10pct,adjustment_interpretation
frontier_asic_constant_main,frontier,asic_robustness_2014_01,delta_log_bitcoin_market_price_usd,log_bitcoin_market_price_usd,Log Bitcoin market price,-0.04567482607228439,0.02487766555439007,-1.8359771728752228,0.06636103278600824,False,True,Bitcoin price falls when the lagged equilibrium error is positive; marginally significant at 10%.
frontier_asic_constant_main,frontier,asic_robustness_2014_01,delta_log_mci_frontier,log_mci_frontier,"Log MCI, frontier efficiency",0.15626026373455695,0.02622202006077616,5.959123796426984,2.5359394584256734e-09,True,True,Frontier MCI rises when the lagged equilibrium error is positive; statistically significant at 5%.
weighted_baseline_parsimonious_constant,weighted,baseline_2010_08,delta_log_bitcoin_market_price_usd,log_bitcoin_market_price_usd,Log Bitcoin market price,-0.0011570558303120994,0.0002836751352907555,-4.078805952189515,4.526760045853173e-05,True,True,Bitcoin price falls when the lagged equilibrium error is positive; statistically significant at 5%.
weighted_baseline_parsimonious_constant,weighted,baseline_2010_08,delta_log_mci_weighted,log_mci_weighted,"Log MCI, weighted efficiency",-0.0014151285390472008,0.00037764487659543643,-3.7472467568074554,0.0001787861888302711,True,True,Weighted MCI falls when the lagged equilibrium error is positive; statistically significant at 5%.
frontier_baseline_none_sensitivity,frontier,baseline_2010_08,delta_log_bitcoin_market_price_usd,log_bitcoin_market_price_usd,Log Bitcoin market price,-0.03154821384492254,0.007631468051096681,-4.133963954732,3.565594207088907e-05,True,True,Bitcoin price falls when the lagged equilibrium error is positive; statistically significant at 5%.
frontier_baseline_none_sensitivity,frontier,baseline_2010_08,delta_log_mci_frontier,log_mci_frontier,"Log MCI, frontier efficiency",-0.03717672446309461,0.010320945696748829,-3.6020656977979786,0.0003156985496910458,True,True,Frontier MCI falls when the lagged equilibrium error is positive; statistically significant at 5%.
weighted_asic_linear_trend_sensitivity,weighted,asic_robustness_2014_01,delta_log_bitcoin_market_price_usd,log_bitcoin_market_price_usd,Log Bitcoin market price,-0.028951709263626616,0.015041812336339715,-1.9247487348104853,0.05426080031636693,False,True,Bitcoin price falls when the lagged equilibrium error is positive; marginally significant at 10%.
weighted_asic_linear_trend_sensitivity,weighted,asic_robustness_2014_01,delta_log_mci_weighted,log_mci_weighted,"Log MCI, weighted efficiency",0.05040944215439994,0.03134629730127277,1.6081466231851613,0.10780307015469281,False,False,Weighted MCI rises when the lagged equilibrium error is positive; not statistically significant at conventional levels.
