sample_start,sample_end,variable,label,transformation,test,deterministic,nlags_requested,lags_used,statistic,p_value,critical_1pct,critical_5pct,critical_10pct,reject_at_5pct,warning,nobs
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,c,8,8,0.43726742161028953,0.06109162861625452,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,c,9,9,0.4238818381858787,0.06686127664401781,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,c,12,12,0.41987408432541046,0.0685887567562886,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,c,18,18,0.44705494000251544,0.056872870688570935,0.739,0.463,0.347,False,,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,c,24,24,0.47015639865784986,0.04838819850048427,0.739,0.463,0.347,True,,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,auto,3,0.07081804901940401,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,legacy,14,0.07542867924990175,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,1,1,0.08065941711471833,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,2,2,0.07407770783330526,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,3,3,0.07081804901940401,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,4,4,0.07068754949714001,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,6,6,0.07510241675983088,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,8,8,0.07054545638356739,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,9,9,0.06914385295146375,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,12,12,0.07134649681268354,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,18,18,0.08511000874698559,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,24,24,0.1033075910283662,0.1,0.216,0.146,0.119,False,The test statistic is outside of the range of p-values available in the,184
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,auto,9,1.0551359414562587,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,legacy,14,0.7545125080601598,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,1,1,4.677951813188415,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,2,2,3.170411995900813,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,3,3,2.414849733555019,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,4,4,1.961246216866419,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,6,6,1.4429082201117116,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,8,8,1.15550359149982,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,9,9,1.0551359414562587,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,12,12,0.8470107520552689,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,18,18,0.6286660803670236,0.020030356330270574,0.739,0.463,0.347,True,,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,24,24,0.5191253128894684,0.03735916376363324,0.739,0.463,0.347,True,,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,auto,9,0.289101791712966,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,legacy,14,0.20787573819852287,0.013046598175553923,0.216,0.146,0.119,True,,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,1,1,1.2774570943520496,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,2,2,0.8655215970088699,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,3,3,0.6592679457227856,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,4,4,0.5355586001891758,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
